prospecto_id,stg_id,cliente_id,nom,url_landing,dominio,palabra_clave,email_extraido,telefono_extraido,whatsapp_extraido,contacto_estado,senal_detectada,tipo_actor_sugerido,prioridad_sugerida,motivo_prioridad,requiere_validacion_manual,motivo_descarte,duplicado_probable,clave_duplicado,duplicado_con
4,4,52,Cifrasonline,https://www.cifrasonline.com.ar/costo-m2-para-una-oficina-en-bs-as,cifrasonline.com.ar,presupuesto para reforma de oficinas en CABA,info@cifrasonline.com.ar,,,pendiente,texto_extraido,no_determinado,baja,sin senales claras de intermediacion de seguros,1,sin evidencia de ser vendedor/intermediario de seguros,no,,
9,132,52,,https://www.google.com/search,google.com,presupuesto para reforma de oficinas en CABA,,,,error_tecnico,texto_extraido,no_determinado,baja,sin senales claras de intermediacion de seguros,1,sin evidencia de ser vendedor/intermediario de seguros,no,,
11,7,1268,Mobarq,https://mobarq.com.ar/reformas,mobarq.com.ar,presupuesto para reforma de oficinas en CABA,info@mobarq.com.ar,541169432222,541169432222,pendiente,texto_extraido,no_determinado,baja,sin senales claras de intermediacion de seguros,1,sin evidencia de ser vendedor/intermediario de seguros,no,,
13,8,52,Aconif,https://aconif.com/servicios/remodelacion-de-oficinas,aconif.com,presupuesto para reforma de oficinas en CABA,info@aconif.com,+541161248923,+541161248923,pendiente,texto_extraido,no_determinado,baja,sin senales claras de intermediacion de seguros,1,sin evidencia de ser vendedor/intermediario de seguros,no,,
16,9,1268,Answerseguros,https://answerseguros.com.ar/auto/seguros/proteger-mi-auto,answerseguros.com.ar,seguro de auto para empresas,leandro.lorenzi@galiciaseguros.com.ar,,,pendiente,keyword_seguros,no_determinado,baja,keyword orientada a consumidor final de seguros,0,consumidor final de seguros detectado por keyword,no,,
18,10,52,Sancristobal,https://www.sancristobal.com.ar/iunigo,sancristobal.com.ar,seguro de auto para empresas,denuncias@ssn.gob.ar,08006668400,,pendiente,keyword_seguros,no_determinado,baja,keyword orientada a consumidor final de seguros,0,consumidor final de seguros detectado por keyword,no,,
20,11,1268,Zurich,https://cotizadordirecto.zurich.com.ar/cotizarauto/s/cotizar,cotizadordirecto.zurich.com.ar,seguro de auto para empresas,tu@email.com,+541152191220,,pendiente,keyword_seguros,no_determinado,baja,keyword orientada a consumidor final de seguros,0,consumidor final de seguros detectado por keyword,no,,
23,12,1268,Sancorseguros,https://www.sancorseguros.com.ar/blog/seguro-comercial-para-autos-que-necesitas-saber,sancorseguros.com.ar,seguro de auto para empresas,saa@sancorseguros.com,5493493510404,5493493510404,pendiente,keyword_seguros,no_determinado,baja,keyword orientada a consumidor final de seguros,0,consumidor final de seguros detectado por keyword,no,,
24,13,1268,Intraoffice,https://intraoffice.com.ar/contact-us,intraoffice.com.ar,presupuesto para reforma de oficinas en CABA,info@intraoffice.com.ar,,,pendiente,texto_extraido,no_determinado,baja,foco principal en seguros personales (auto/hogar/vida),1,"orientado a consumidor final, sin oferta B2B clara",sí,dominio:intraoffice.com.ar,48
25,14,1268,Yasisa,https://www.yasisa.com.ar/servicios.html,yasisa.com.ar,presupuesto para reforma de oficinas en CABA,info@yasisa.com.ar,1160696963,5491159145422,pendiente,texto_extraido,productor,media,seniales de seguros B2B con contacto,1,,no,,
27,16,1268,Interioresmaluk,https://interioresmaluk.com/,interioresmaluk.com,presupuesto para reforma de oficinas en CABA,info@interioresmaluk.com,,,pendiente,texto_extraido,no_determinado,baja,foco principal en seguros personales (auto/hogar/vida),1,"orientado a consumidor final, sin oferta B2B clara",no,,
